#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
2.0%,205000,25625.0,144.64016246007463,550.8820136604201,695.5221761204947,121.34776031798148,1.3e+04,2:15:15
2.1%,206000,25750.0,148.31234528963358,564.6153119857556,712.9276572753893,124.37291806906653,1.3e+04,2:15:11
2.1%,207000,25875.0,142.56316583023187,544.9676181500828,687.5307839803147,120.04494296142033,1.3e+04,2:15:11
2.1%,208000,26000.0,139.28535229332246,573.4772006958436,712.7625529891661,126.32500639377133,1.3e+04,2:15:09
2.1%,209000,26125.0,128.82488121048902,563.4341358269771,692.2590170374662,124.11272972046469,1.3e+04,2:15:10
2.1%,210000,26250.0,122.24448623407682,547.7512343097633,669.9957205438401,120.65811525273858,1.3e+04,2:15:09
2.1%,211000,26375.0,135.9278874678068,551.4935390788249,687.4214265466318,121.48246654919036,1.3e+04,2:15:09
2.1%,212000,26500.0,107.06417366149626,533.3013666022484,640.3655402637447,117.47511228710003,1.3e+04,2:15:13
2.1%,213000,26625.0,109.24926344174071,543.4959557767127,652.7452192184534,119.72076658875918,1.3e+04,2:15:17
2.1%,214000,26750.0,127.69551094040412,538.1509649007876,665.8464758411917,118.54337713760644,1.3e+04,2:15:13
2.1%,215000,26875.0,110.16772870748348,537.8568629636205,648.024591671104,118.47859264565459,1.3e+04,2:15:09
2.2%,216000,27000.0,122.50156697215705,565.8476720181982,688.3492389903553,124.64438115214784,1.3e+04,2:15:07
2.2%,217000,27125.0,128.0460847776008,560.0761953114782,688.1222800890789,123.37304581223677,1.3e+04,2:15:04
2.2%,218000,27250.0,114.95686617165114,553.7198287998881,668.6766949715393,121.97287150845717,1.3e+04,2:15:01
2.2%,219000,27375.0,135.56637935538475,528.7300866230556,664.2964659784404,116.46815512838725,1.3e+04,2:15:00
2.2%,220000,27500.0,136.7544489781269,573.0678264663227,709.8222754444496,126.2348298320895,1.3e+04,2:14:57
2.2%,221000,27625.0,137.54523452720971,538.8034817751197,676.3487163023294,118.68711292731533,1.3e+04,2:14:57
2.2%,222000,27750.0,120.99394151157807,537.6841561509882,658.6780976625663,118.44054895501868,1.3e+04,2:14:59
2.2%,223000,27875.0,117.39814113372938,543.8005678215039,661.1987089552333,119.78786623711345,1.3e+04,2:14:58
2.2%,224000,28000.0,105.16978886100783,527.0309775697597,632.2007664307675,116.09387701975297,1.3e+04,2:14:57
2.2%,225000,28125.0,129.61209105971977,548.610083029484,678.2221740892038,120.84730162296981,1.3e+04,2:14:53
2.3%,226000,28250.0,102.65275890245104,533.3441193993873,635.9968783018384,117.48452983214867,1.3e+04,2:14:51
